Jahr,Art,Bezirk,Deutschland,Schleswig-Holstein,Hamburg,Niedersachsen,Bremen,Nordrhein-Westfalen,Hessen,Rheinland-Pfalz,Baden-Württemberg,Bayern,Saarland,Brandenburg,Mecklenburg-Vorpommern,Sachsen,Sachsen-Anhalt,Thüringen
1998,Zuzug,Steglitz-Zehlendorf,6130,346,177,685,77,1047,448,142,684,666,46,1176,154,235,164,83
1998,Zuzug,Tempelhof-Schöneberg,6532,293,234,898,81,975,430,163,660,628,74,1547,164,188,136,61
1998,Zuzug,Treptow-Köpenick,4866,92,46,541,20,286,124,61,205,211,11,2409,240,319,200,101
1999,Fortzug,Charlottenburg-Wilmersdorf,7483,334,315,642,79,979,493,144,679,872,34,2461,159,132,94,66
1999,Fortzug,Friedrichshain-Kreuzberg,6457,188,212,462,56,751,358,152,570,600,20,2419,241,230,119,79
1999,Fortzug,Lichtenberg,8007,110,85,344,17,405,196,94,324,357,13,5053,375,301,197,136
1999,Fortzug,Marzahn-Hellersdorf,9057,102,73,281,22,352,130,70,369,337,13,6430,350,235,183,110
1999,Fortzug,Mitte,8645,251,251,685,85,913,511,188,702,849,38,3300,244,312,212,104
1999,Fortzug,Neukölln,6378,259,157,537,39,637,295,137,473,781,33,2583,136,143,126,42
1999,Fortzug,Pankow,9462,151,214,386,42,547,283,80,463,505,10,5526,475,384,222,174
1999,Fortzug,Reinickendorf,5471,218,93,428,26,399,213,100,171,381,10,3163,88,76,72,33
1999,Fortzug,Spandau,5706,222,80,401,22,380,163,78,242,408,2,3383,134,63,86,42
1999,Fortzug,Steglitz-Zehlendorf,7496,266,185,622,60,687,437,145,602,759,25,3298,137,116,98,59
1999,Fortzug,Tempelhof-Schöneberg,7434,291,211,618,37,798,442,170,559,817,29,3032,117,147,110,56
1999,Fortzug,Treptow-Köpenick,5274,91,64,210,29,252,117,61,261,271,9,3260,260,187,109,93
1999,Zuzug,Charlottenburg-Wilmersdorf,7672,316,417,764,102,1980,579,177,677,762,66,1119,204,191,214,104
1999,Zuzug,Friedrichshain-Kreuzberg,7712,251,339,781,89,1299,482,201,796,628,54,1543,384,408,305,152
1999,Zuzug,Lichtenberg,4696,91,63,202,24,369,123,57,176,207,13,1967,484,464,297,159
1999,Zuzug,Marzahn-Hellersdorf,3966,74,29,200,14,200,78,30,129,132,5,2048,387,303,224,113
1999,Zuzug,Mitte,9363,318,353,792,107,2123,552,244,794,859,62,1789,379,479,323,189
1999,Zuzug,Neukölln,4892,164,177,545,55,706,273,134,373,444,23,1402,155,228,123,90
1999,Zuzug,Pankow,9614,258,349,605,106,1502,443,179,760,679,40,2759,657,606,414,257
1999,Zuzug,Reinickendorf,3748,124,86,314,40,869,181,101,246,261,13,1154,137,90,94,38
1999,Zuzug,Spandau,3579,152,71,304,34,560,114,65,167,250,16,1419,154,124,107,42
1999,Zuzug,Steglitz-Zehlendorf,6291,284,201,589,60,1697,376,188,532,483,37,1324,158,175,131,56
1999,Zuzug,Tempelhof-Schöneberg,7458,265,252,1144,89,1361,416,141,573,529,31,2148,146,199,102,62
1999,Zuzug,Treptow-Köpenick,4654,81,59,557,37,396,122,71,207,212,15,2144,198,308,146,101
2000,Fortzug,Charlottenburg-Wilmersdorf,7159,272,329,645,78,864,549,174,677,845,31,2245,139,172,84,55
2000,Fortzug,Friedrichshain-Kreuzberg,6238,206,238,469,50,754,345,112,599,656,36,2046,243,263,151,70
2000,Fortzug,Lichtenberg,7605,124,105,317,33,452,163,105,347,488,19,4412,348,314,213,165
2000,Fortzug,Marzahn-Hellersdorf,7860,124,62,274,18,322,144,87,317,388,21,5216,341,264,150,132
2000,Fortzug,Mitte,8471,337,291,692,65,1036,433,213,710,829,22,2953,286,303,179,122
2000,Fortzug,Neukölln,6144,239,149,497,56,709,315,150,487,721,25,2386,131,122,113,44
2000,Fortzug,Pankow,9228,212,237,394,42,623,301,109,517,661,23,4842,487,396,243,141
2000,Fortzug,Reinickendorf,5264,176,91,468,43,399,292,93,351,450,22,2600,99,76,78,26
2000,Fortzug,Spandau,5191,192,92,316,25,469,147,86,207,381,14,2971,96,108,51,36
2000,Fortzug,Steglitz-Zehlendorf,6980,292,182,556,33,759,380,147,573,538,16,3091,102,156,82,73
2000,Fortzug,Tempelhof-Schöneberg,7223,288,217,560,47,872,412,145,660,832,31,2782,121,137,73,46
2000,Fortzug,Treptow-Köpenick,5066,95,64,209,25,250,125,65,207,285,4,3168,202,207,83,77
2000,Zuzug,Charlottenburg-Wilmersdorf,7276,299,371,718,103,1522,551,183,717,814,53,1182,180,243,211,129
2000,Zuzug,Friedrichshain-Kreuzberg,8717,301,434,770,128,1272,593,252,919,791,54,1728,486,489,332,168
2000,Zuzug,Lichtenberg,5086,98,82,358,30,405,123,51,253,235,19,2043,470,425,336,158
2000,Zuzug,Marzahn-Hellersdorf,4068,67,31,202,21,198,76,51,164,158,19,2117,345,264,230,125
2000,Zuzug,Mitte,10005,355,433,966,124,2030,625,283,882,938,82,1893,361,494,330,209
2000,Zuzug,Neukölln,5087,171,161,529,50,730,284,138,376,471,23,1461,171,259,172,91
2000,Zuzug,Pankow,10486,270,432,669,121,1476,574,198,852,774,40,3064,710,583,435,288
2000,Zuzug,Reinickendorf,3711,157,76,287,31,622,187,96,212,283,5,1406,106,117,91,35
2000,Zuzug,Spandau,3998,165,93,340,38,559,137,75,201,250,21,1592,163,164,157,43
2000,Zuzug,Steglitz-Zehlendorf,5848,230,207,519,55,1196,376,151,520,499,27,1489,152,217,130,80
2000,Zuzug,Tempelhof-Schöneberg,7681,250,239,2350,77,984,380,141,535,566,49,1473,180,181,178,98
2000,Zuzug,Treptow-Köpenick,4646,96,69,387,15,345,141,77,188,239,15,2118,269,324,220,143
2001,Fortzug,Charlottenburg-Wilmersdorf,6721,237,297,566,83,900,472,156,607,939,26,2004,127,154,97,56
2001,Fortzug,Friedrichshain-Kreuzberg,6137,168,245,422,46,825,315,126,662,706,33,1846,253,256,138,96
2001,Fortzug,Lichtenberg,7009,127,102,294,28,446,206,123,441,519,14,3818,320,236,189,146
2001,Fortzug,Marzahn-Hellersdorf,7648,138,91,330,22,422,181,77,384,560,15,4628,302,201,187,110
2001,Fortzug,Mitte,8513,263,318,683,78,1255,503,194,918,1011,39,2356,276,321,180,118
2001,Fortzug,Neukölln,6207,230,171,561,61,695,309,144,656,757,15,2146,102,191,106,63
2001,Fortzug,Pankow,9611,217,259,423,59,712,346,134,592,812,35,4724,507,393,219,179
2001,Fortzug,Reinickendorf,4976,200,90,366,33,457,176,105,344,438,14,2494,96,87,55,21
2001,Fortzug,Spandau,4964,193,78,341,21,397,187,71,296,473,8,2602,95,94,72,36
